类别,子类别,物流方式/运费类型,平均邮费（0.5kg包裹）,时效（天）,优点/适用场景,缺点/2025年涨价影响,备注
跨境电商通用,中国邮政EMS,EMS,80-120 CNY（到美/欧）,5-10,价格亲民，覆盖175+国家，优先清关；小件普货，预算有限卖家,时效不稳定，查验率6.8%；清关优化，但基础费微涨2-3%,不含保险/关税/燃油附加费
跨境电商通用,ePacket,ePacket（中国邮政+USPS）,50-80 CNY（到美）,7-15,低成本，追踪全覆盖；Amazon/eBay小订单,仅限小包裹（<2kg），无保险；USPS优先邮件涨价5%，总成本增10%,不含保险/关税/燃油附加费
跨境电商通用,DHL,DHL,150-250 CNY（到美/欧）,3-5,快速可靠，门到门服务；高价值商品，急单,费用高，燃油附加费上涨；费率上调5.9%，第三方付2.5%附加,不含保险/关税/燃油附加费
跨境电商通用,FedEx,FedEx,140-220 CNY（到美/欧）,3-6,全球网络强，尾程处理高效；中大型电商，FBA头程,大件附加费调整，进口处理费涨67%（1.5→2.5 USD）；8月起进口费暴涨，整体增5.9%,不含保险/关税/燃油附加费
跨境电商通用,UPS,UPS,130-210 CNY（到美/欧）,4-7,体积计费灵活，保险齐全；批量发货，欧洲市场,大包裹LPS费按立方米计算上涨；1月起附加操作费转体积计，增6%,不含保险/关税/燃油附加费
跨境电商通用,海外仓直发,海外仓直发,20-50 CNY（本地配送）,1-3,低尾程费，避关税高峰；成熟品牌，高频订单,初始仓储成本高（年费3000万㎡规模）；海运头程涨价影响小，整体降本20%,不含保险/关税/燃油附加费
亚马逊FBA,头程运费,FBA头程运费（AGL/小包）,2-5 USD（到美） / 3-6 USD（到欧）,7-14,亚马逊物流小包（AGL），限<2kg；美/欧/日,下调18%（新ASIN首100件免配置费）；旺季额外5 USD/件。使用UPS/FedEx头程可降本10%,不含关税/清关/附加费
亚马逊FBA,履行费,FBA履行费（标准配送，美站）,3.22 USD（小件）,2-5,包含捡货/打包/配送；Prime买家免费；美站,维持不变（零涨价）；低价商品（<10 USD）加0.80 USD/件,不含关税/清关/附加费
亚马逊FBA,履行费,FBA履行费（欧洲）,3.50-5.00 USD（小件）,3-7,覆盖英/德/法；跨境欧盟内免费；欧站,部分尺寸下调5-10%；VAT税额外5-20%,不含关税/清关/附加费
亚马逊FBA,履行费,FBA履行费（日本）,200-400 JPY（小件）,2-4,>1000 JPY商品下调部分尺寸；日站,2025年4月起生效；<1000 JPY每件66 JPY折扣；仓储利用率>26周加低库存费,不含关税/清关/附加费
亚马逊FBA,买家运费,国际买家运费（非FBA）,5-20 USD（全球）,5-15,买家支付；全球,无重大变化；Prime国际免费扩展；卖家可选ePacket,不含关税/清关/附加费
Temu买家侧,标准配送,标准配送（免费门槛）,0 USD（订单≥$10-30/卖家）否则$2.99/卖家,7-15,平台补贴；美/欧/亚,门槛上调（从$10→$30），多卖家累积费；本地仓发货避关税,不含关税/退货费
Temu买家侧,快递配送,快递配送,$12.90 USD（订单< $129） / 0（≥$129）,3-7,追踪全覆盖；美站为主,免费门槛$129不变，但使用率降20%；仓库备货3天,不含关税/退货费
Temu买家侧,国际直邮,国际直邮（已限）,N/A（暂停中国直发）历史$0-5,10-20,仅本地仓可用；全球,5月起加进口费130-150%，全转本地仓；亚洲（如HK）门槛低至$10,不含关税/退货费
Temu买家侧,大件/重货,大件/重货,$5-20 USD（体积计费）,10-20,超标分拆包；美/欧,关税影响+10%，平台补贴减半；欧盟VAT税额外5-20%,不含关税/退货费
Temu卖家侧,国内头程,国内头程（工厂→广东仓）,20-50 CNY（1kg）,1-3,商家+平台各半,VMI模式补贴减半，成本增15%；深圳→上海例：1kg≈30元,全托管模式
Temu卖家侧,国际干线,国际干线（仓→海外）,80 CNY/kg（≈11.4 USD）+操作16-18,5-10,平台补贴80%,关税后成本涨10%，极兔/云途主用；小包到美≈14 USD全成本,全托管模式
Temu卖家侧,海外尾程,海外尾程（海外仓→买家）,2-5 USD（USPS/UPS）,2-5,平台承担（半托管可选分担）,本地仓优先，免关税但尾程$2.99/件；超重大件商家分摊,全托管模式
Temu卖家侧,总物流成本,总物流成本,100-150 CNY/单（平台补贴后）,10-15,商家仅头程50%,亏损补贴降（每单≈30 USD，但卖家利好）；无销售佣金,全托管模式
,,,,,," "